case,jobs,python_wall_seconds,cpp_wall_seconds,python_peak_rss_kib,cpp_peak_rss_kib
april_batch_1,50329,20.30,10.34,823784,29104
april_batches_1_2,100333,76.58,42.77,2708256,49232
april_batches_1_3,150333,122.62,69.67,4687848,59592
april_batches_1_4,200333,208.67,120.42,6527360,90012
april_batches_1_5,250333,263.64,146.37,8472204,100108
april_batches_1_6,301983,287.16,155.37,9833724,110580
april_batches_1_7,352055,341.43,171.73,12368864,120732
april_batches_1_8,402055,399.67,194.27,14144828,171220
april_batches_1_9,420450,425.97,220.09,14943212,173088
march_april_2024,928736,849.63,353.70,53348400,305928
